Sample	QualiMap_mqc-generalstats-general_error_rate	QualiMap_mqc-generalstats-percentage_aligned	QualiMap_mqc-generalstats-10_x_pc	QualiMap_mqc-generalstats-median_coverage	QualiMap_mqc-generalstats-30_x_pc	QualiMap_mqc-generalstats-median_insert_size	QualiMap_mqc-generalstats-mapped_reads	QualiMap_mqc-generalstats-50_x_pc	QualiMap_mqc-generalstats-1_x_pc	QualiMap_mqc-generalstats-total_reads	QualiMap_mqc-generalstats-avg_gc	QualiMap_mqc-generalstats-5_x_pc
BRB124_S21_L001	0.39	99.7320534813	0.392283528482	0	0.36179266106	174	1809307.0	0.342815107143	0.666908486624	1814168.0	45.1570720315	0.410525298919
BRB125_S22_L001	0.39	99.7505769973	0.375671801447	0	0.34558957685	147	1569307.0	0.325349871271	0.645072696879	1573231.0	44.0755070239	0.392265416888
BRB129_S6_L001	0.49	99.7494992398	0.3906659368	0	0.364079249722	163	2066660.0	0.348387818025	0.567379621238	2071850.0	45.0248237638	0.404095683276
BRB130_S16_L001	0.41	99.7718563364	0.398370155825	0	0.370020984318	170	2013860.0	0.353640180099	0.52141466124	2018465.0	46.9165255859	0.413826136809
BRB131_S17_L001	0.44	99.7663712191	0.405777797509	0	0.377916507049	170	2551501.0	0.361921706163	0.554876961947	2557476.0	46.6933937728	0.419830130008
BRB132_S7_L001	0.51	99.5853226833	0.382196502955	0	0.347563740527	174	1145522.0	0.325049898006	0.515013344962	1150292.0	44.8024297764	0.399426288113
BRB137_S1_L001	0.57	99.6747674583	0.405378210481	0	0.365525913241	219	1300362.0	0.339755379839	0.562666079066	1304605.0	47.0389627465	0.425628103832
BRB138_S2_L001	0.51	99.715360958	0.40464469095	0	0.366986160456	195	1493073.0	0.345003214015	0.575810567947	1497335.0	47.236740902	0.424893452326
BRB139_S3_L001	0.52	99.6633913743	0.412304762966	0	0.376383813461	199	1880706.0	0.355664150657	0.595894061034	1887058.0	47.2718206922	0.430563513022
BRB142_S4_L001	0.61	99.6379747198	0.387876751422	0	0.328952946375	238	696041.0	0.269493717349	0.525412795474	698570.0	47.1215762602	0.413655208646
BRB143_S8_L001	0.48	99.6529602631	0.398563723479	0	0.367951734777	169	1973879.0	0.35120869869	0.577351185357	1980753.0	46.0392631437	0.414397783974
BRB146_S5_L001	0.52	99.7493495258	0.402641095934	0	0.361465520405	210	1212988.0	0.33493882798	0.566428762587	1216036.0	47.9728781061	0.423363022687
BRB147_S6_L001	0.53	99.728788928	0.402678451096	0	0.368765624504	191	1605818.0	0.347206036558	0.570672535306	1610185.0	46.3797392154	0.419848241601
BRB148_S9_L001	0.47	99.7819786282	0.381529769924	0	0.355026848966	142	1924505.0	0.340218357445	0.543116877983	1928710.0	44.7819932954	0.394868958434
BRB14_S3_L001	0.4	99.7718183121	0.395359103429	0	0.365656090319	167	1796649.0	0.348486299813	0.550601493939	1800758.0	46.2178893041	0.411023367736
BRB150_S18_L001	0.45	99.6493763529	0.411399183298	0	0.380885676385	175	2556718.0	0.364639577141	0.561476373777	2565714.0	47.0278289704	0.426829128867
BRB152_S10_L001	0.49	99.7786274458	0.384222737462	0	0.352964391272	167	1348125.0	0.333401606494	0.516393221981	1351116.0	45.1549341381	0.399705885835
BRB153_S23_L001	0.4	99.7459414991	0.400866159785	0	0.370198704328	179	2115776.0	0.351505276032	0.699352010205	2121165.0	45.6772795829	0.418889459127
BRB154_S7_L001	0.55	99.5855504084	0.404434143677	0	0.367195575754	204	1449152.0	0.343773889616	0.569336805296	1455183.0	46.3980948958	0.424032019667
BRB156_S8_L001	0.51	99.7012761073	0.410692831157	0	0.372857712628	197	1648761.0	0.351079653588	0.598553069334	1653701.0	47.9713513818	0.428585953422
BRB158_S9_L001	0.47	99.6679714061	0.414880005147	0	0.382156883844	188	2293967.0	0.363564201286	0.629897445593	2301609.0	47.474769221	0.433259876484
BRB160_S11_L001	0.53	99.7516223293	0.377193175289	0	0.342777751981	174	1051422.0	0.31641972377	0.488813793192	1054040.0	44.0980451128	0.393469837847
BRB161_S24_L001	0.45	99.6449187016	0.374447004946	0	0.335303323797	132	1194904.0	0.310124813103	0.590216076516	1199162.0	44.6127616685	0.396046212002
BRB162_S12_L001	0.51	99.6927064474	0.402956916844	0	0.375842729609	163	2615488.0	0.360563336661	0.549652899237	2623550.0	46.4004666041	0.418963037475
BRB166_S1_L001	0.37	99.5910792139	0.363642307532	0	0.315655640925	168	839260.0	0.274619298269	0.51925938163	842706.0	42.9041984901	0.382348187549
BRB167_S19_L001	0.62	99.6230483134	0.409650282565	0	0.380630982104	180	2636517.0	0.364524115734	0.567030973066	2646493.0	45.9539303502	0.425120979218
BRB169_S2_L001	0.38	99.6136413106	0.379738986131	0	0.344069334983	172	1244788.0	0.318346344513	0.588475099604	1249616.0	44.0824402185	0.398440338249
BRB170_S13_L001	0.51	99.6539626932	0.408483216767	0	0.380840397402	170	2834360.0	0.364596562107	0.562685322634	2844202.0	46.6117422958	0.424342180703
BRB171_S3_L001	0.54	99.381944584	0.389878082488	0	0.357376828204	173	1731149.0	0.338245325743	0.636235371294	1741915.0	44.4410238857	0.407020705604
BRB172_S4_L001	0.4	99.4081592943	0.31905156468	0	0.218115654885	152	367842.0	0.134965329769	0.45739697056	370032.0	41.6461040578	0.351131724419
BRB173_S5_L001	0.33	99.6017002687	0.345941620946	0	0.293354609626	125	651175.0	0.244660458903	0.496718371719	653779.0	42.9952675646	0.367835141395
BRB174_S6_L001	0.35	99.6026706339	0.354718951878	0	0.305377311693	144	713687.0	0.259481402144	0.518766972685	716534.0	43.2554533104	0.377444473647
BRB175_S7_L001	0.36	99.5110096841	0.373122594681	0	0.328221690793	184	873842.0	0.288196201442	0.564882485304	878136.0	44.0631660866	0.393540020271
BRB177_S8_L001	0.44	99.5589323052	0.398605606539	0	0.36595266766	192	1818421.0	0.346147640321	0.717430776302	1826477.0	45.5361381698	0.417280923242
BRB17_S15_L001	0.45	99.7301576489	0.408641693209	0	0.378489286189	182	2298460.0	0.360617671441	0.558576254891	2304679.0	46.791224925	0.426743098798
BRB182_S14_L001	0.56	99.5712209434	0.416636829703	0	0.389047213143	181	3300780.0	0.373158817868	0.583388005819	3314994.0	46.870424919	0.432946319524
BRB185_S9_L001	0.42	99.3560205875	0.349310377311	0	0.293599116136	114	600938.0	0.239658263212	0.508495435301	604833.0	44.4187666202	0.378830010539
BRB186_S10_L001	0.4	99.6513499999	0.398306765248	0	0.36456260287	195	1723784.0	0.34366861598	0.700277965415	1729815.0	45.5055809515	0.417156406038
BRB187_S15_L001	0.46	99.7360061379	0.390312760729	0	0.363179329927	147	2120195.0	0.347504877848	0.515287282811	2125807.0	45.9307224353	0.404445463423
BRB188_S16_L001	0.44	99.766470168	0.388261622781	0	0.361319495684	146	2093333.0	0.346950210302	0.502683877782	2098233.0	45.8858768944	0.401794378945
